mobile_name,mobile_price,mobile_color,Sims,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight,Brand,5G_connectivity,VOLTE_connectivity,4G_connectivity,3G_connectivity,2G_connectivity,primary_cam,secondary_cam,tertiary_cam,quaternary_cam,Low_light_sensor,f_cam_primary,f_cam_secondary
Note 5 Pro ,17999,Gold,2,5.99,FHD+,Android Nougat 7,Octa Core,1.8,64,6,4000,75.35,158.58,8.05,181.0,Redmi,No,Yes,No,Yes,Yes,12,5,0,0,No,20,0
A2 ,13999,Blue,2,5.99,FHD+,Android Oreo 8,Octa Core,2.2,64,4,3010,75.4,158.7,7.3,168.0,Mi,No,Yes,No,Yes,Yes,20,12,0,0,No,20,0
Go ,6700,Blue,2,5.0,HD+,Android Oreo 8,Quad Core,1.4,16,1,3000,70.1,140.4,8.35,137.0,Redmi,No,Yes,No,Yes,Yes,8,0,0,0,No,5,0
Note 5 Pro ,12999,Black,2,5.99,FHD+,Android Nougat 7,Octa Core,1.8,64,4,4000,75.35,158.58,8.05,181.0,Redmi,No,Yes,No,Yes,Yes,12,5,0,0,No,20,0
Note 7S ,9999,Blue,2,6.3,FHD+,Android Pie 9,Octa Core,2.2,32,3,4000,75.21,159.21,8.1,186.0,Redmi,No,Yes,No,Yes,Yes,48,5,0,0,No,13,0
Y2 ,8499,Gold,2,5.99,HD+,Android Oreo 8,Octa Core,2.0,64,4,3080,77.26,160.73,8.1,168.0,Redmi,No,No,Yes,Yes,Yes,12,5,0,0,No,16,0
7A ,6699,Black,2,5.45,HD+,Android Pie 9,Octa Core,2.0,32,2,4000,70.4,146.3,9.55,165.0,Redmi,No,Yes,No,Yes,Yes,12,0,0,0,No,5,0
Note 7S ,11999,Black,2,6.3,FHD+,Android Pie 9,Octa Core,2.2,64,4,4000,75.21,159.21,8.1,186.0,Redmi,No,Yes,No,Yes,Yes,48,5,0,0,No,13,0
Y2 ,7999,Blue,2,5.99,HD+,Android Oreo 8,Octa Core,2.0,32,3,3080,77.26,160.73,8.1,168.0,Redmi,No,No,Yes,Yes,Yes,12,5,0,0,No,16,0
Y2 ,8499,Black,2,5.99,HD+,Android Oreo 8,Octa Core,2.0,64,4,3080,77.26,160.73,8.1,168.0,Redmi,No,No,Yes,Yes,Yes,12,5,0,0,No,16,0
Note 7 ,9999,Black,2,6.3,FHD+,Android Pie 9,Octa Core,2.2,32,3,4000,75.21,159.21,8.1,186.0,Redmi,No,Yes,No,Yes,Yes,12,2,0,0,No,13,0
7A ,6499,Black,2,5.45,HD+,Android Pie 9,Octa Core,2.0,16,2,4000,70.4,146.3,9.55,165.0,Redmi,No,Yes,No,Yes,Yes,12,0,0,0,No,5,0
6 ,7999,Gold,2,5.45,HD+,Android Oreo 8,Octa Core,2.0,32,3,3000,71.5,147.5,8.3,146.0,Redmi,No,Yes,No,Yes,Yes,12,5,0,0,No,5,0
Note 7 ,9999,Red,2,6.3,FHD+,Android Pie 9,Octa Core,2.2,32,3,4000,75.21,159.21,8.1,186.0,Redmi,No,Yes,No,Yes,Yes,12,2,0,0,No,13,0
Note 7S ,11999,Red,2,6.3,FHD+,Android Pie 9,Octa Core,2.2,64,4,4000,75.21,159.21,8.1,186.0,Redmi,No,Yes,No,Yes,Yes,48,5,0,0,No,13,0
7A ,6499,Gold,2,5.45,HD+,Android Pie 9,Octa Core,2.0,16,2,4000,70.4,146.3,9.55,165.0,Redmi,No,Yes,No,Yes,Yes,12,0,0,0,No,5,0
Note 5 Pro ,13999,Blue,2,5.99,FHD+,Android Nougat 7,Octa Core,1.8,64,6,4000,75.35,158.58,8.05,181.0,Redmi,No,Yes,No,Yes,Yes,12,5,0,0,No,20,0
Note 5 Pro ,12999,Blue,2,5.99,FHD+,Android Nougat 7,Octa Core,1.8,64,4,4000,75.35,158.58,8.05,181.0,Redmi,No,Yes,No,Yes,Yes,12,5,0,0,No,20,0
